lat,lon
-76.5,-175
-66.4,-165
-59.4,-155
-53.7,-145
-48.6,-135
-44,-125
-39.7,-115
-35.7,-105
-31.9,-95
-28.2,-85
-24.6,-75
-21.2,-65
-17.8,-55
-14.5,-45
-11.2,-35
-8,-25
-4.8,-15
-1.6,-5
1.6,5
4.8,15
8,25
11.2,35
14.5,45
17.8,55
21.2,65
24.6,75
28.2,85
31.9,95
35.7,105
39.7,115
44,125
48.6,135
53.7,145
59.4,155
66.4,165
76.5,175
