Site,Type,Proxy,Reference,DOI,Lon0Ma,Lat0Ma,Lon56Ma,Lat56Ma,Lon56MaShift,Lat56MaShift,DepthOriginal,Depth,SourcePaleodepth,SourceDOI,Mask,Assessment,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,mg_bcp_red,Glassy,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x
ODP 1138,caco3,caco3,"Shipboard Scientific Party, 2000",http://doi.org/10.2973/odp.proc.ir.183.106.2000,75.97488,-53.55175,66.15,-55.55,66.15,-60,600-1200,900,"Quilty et al., 1992",https://doi.org/10.2973/odp.proc.sr.120.173.1992,Indian,"Panchunk et al., 2008",93,,,,,,,,,,,,
ODP 1172,caco3,caco3,"Sluijs et al., 2011",http://doi.org/10.5194/cp-7-47-2011,150,-44,142,-64.45,139,-64.45,300,300,"Hollis et al., 2019",https://doi.org/10.5194/gmd-12-3149-2019,Southern,this study,0.1,0.1,99,0.1,0.1,42,,,,,,,
ODP 1209,caco3,caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,158.50594,32.65180167,-155.45,28.35,-155.45,28.35,1900,1900,"Dutton et al., 2005",https://doi.org/10.1029/2004PA001098,Pacific,"Panchunk et al., 2008",96,,,84,,,,,,,,,
ODP 1210,caco3,caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,158.2594,32.2235,-155.69654,27.92169833,-155.69654,26,2100,2100,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",92,,,86,,,,,,,,,
ODP 1211,caco3,caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,157.85,32.0022,-156.10594,27.70039833,-156.10594,25,2400,2400,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",95,,,78,,,,,,,,,
ODP 1212,caco3,caco3,"Colosimo et al., 2006",http://doi.org/10.2973/odp.proc.sr.198.112.2006,157.7117,32.4483,-156.24424,28.14649833,-156.24424,28.14649833,2200,2200,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",98,,,83,,,,,,,,,
ODP 1215,caco3,caco3,Leon-Rodriguez & Dickens 2010,https://doi.org/10.1016/j.palaeo.2010.10.029,-147.9332,26.0296,-127.3,15.3,-119,15.3,3200,3200,"Rea & Lyle, 2005",https://doi.org/10.1029/2004PA001064,Pacific,"Panchunk et al., 2008; this study",74,,,8.3,,,,,,,,,
ODP 1220,caco3,caco3,"Shipboard Scientific Party, 2002",http://doi.org/10.2973/odp.proc.ir.199.113.2002,-142.7582,10.18,-123.2,-0.9,-119,-0.9,2900,2900,"Rea & Lyle, 2005",https://doi.org/10.1029/2004PA001064,Pacific,"Panchunk et al., 2008",90,,,0,,,,,,,,,
ODP 1221,caco3,caco3,"Murphy et al., 2006",http://doi.org/10.2973/odp.proc.ir.199.114.2002,-143.69,12.03,-124.1318,1.15,-124.1318,1.15,3200,3200,"Rea & Lyle, 2005",https://doi.org/10.1029/2004PA001064,Pacific,"Panchunk et al., 2008",74,,,3,,,,,,,,,
ODP 1258,caco3,caco3,"Bralower et al., 2018",https://doi.org/10.1029/2018PA003382,-54.73332333,9.433338333,-46.44332333,0.413338333,-46.44332333,0.413338333,2500,2500,"Sexton et al., 2006",https://doi.org/10.1029/2005PA001253,Atlantic,"Bralower et al., 2018",33.58,0,1,0.72,0,1,,,,,,,
ODP 1260,caco3,caco3,"Mutterlose et al., 2007",https://doi.org/10.1016/j.marmicro.2007.05.004,-54.54,9.27,-46.25,0.25,-39,0.25,1300,1900,"Bralower et al., 2018",https://doi.org/10.1029/2018PA003382,Atlantic,this study,57.1,4.8,12,1,,2,,,,,,,
