Site,Type,Proxy,Reference,DOI,Lon0Ma,Lat0Ma,Lon56Ma,Lat56Ma,Lon56MaShift,Lat56MaShift,DepthOriginal,Depth,SourcePaleodepth,SourceDOI,Mask,Assessment,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,mg_bcp_red,Glassy,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x
Wilson Lake,d18O,d18o_acarinina,"Zachos et al., 2006",https://doi.org/10.1130/G22522.1,-75.05,39.65,-58.40841,39.65,-58.40841,39.65,,,,,,deepMIP,,,,-3.46,0.29,17,,glassy,-0.48941,-0.4295,-0.5346,-0.4007,-0.6612
Ancora,MgCa,mgca_morozovella:reductive,"Babila et al., 2014",https://doi.org/10.7282/T3Z31WRT,-74.84901639,39.69221528,-58.20742639,39.69221528,-58.20742639,39.69221528,,,,,,deepMIP,,,,4.29,0.73,19,mg_red,,,,,,
Ancora,MgCa,mgca_acarinina:reductive,"Babila et al., 2014",https://doi.org/10.7282/T3Z31WRT,-74.84901639,39.69221528,-58.20742639,39.69221528,-58.20742639,39.69221528,,,,,,deepMIP,,,,3.4,0.44,24,mg_red,,,,,,
Bass River,MgCa,mgca_acarinina:reductive,"Babila et al., 2016",https://doi.org/10.1130/G37522.1,-74.43,39.6,-57.78841,39.6,-57.78841,39.6,,,,,,deepMIP,2.65,0.27,5,3.35,0.25,12,mg_red,,,,,,
Bass River,MgCa,mgca_morozovella:reductive,"Babila et al., 2016",https://doi.org/10.1130/G37522.1,-74.43,39.6,-57.78841,39.6,-57.78841,39.6,,,,,,deepMIP,,,,3.91,0.44,9,mg_red,,,,,,
DSDP 277,MgCa,mgca_morozovella:barker,Hines et al. 2017,https://doi.org/10.1016/j.palaeo.2017.02.037,166.1913333,-52.22383333,-168.55,-56.15,-168.55,-56.15,,,,,,deepMIP,,,,4.73,0.51,7,mg_bcp,,,,,,
DSDP 277,MgCa,mgca_acarinina:barker,Hines et al. 2017,https://doi.org/10.1016/j.palaeo.2017.02.037,166.1913333,-52.22383333,-168.55,-56.15,-168.55,-56.15,,,,,,deepMIP,3.73,0.3,7,4.59,1.19,8,mg_bcp,,,,,,
DSDP 401,MgCa,mgca_m.subb:barker,"Gutjahr et al., 2017; Bornemann et al., 2014",https://doi.org/10.1016/j.epsl.2014.03.017,-8.810333333,47.4275,-10.95,41.8,-10.95,41.8,,,,,,deepMIP,3.42,0.07,13,3.86,0.12,11,mg_bcp,,,,,,
DSDP 527,MgCa,mgca_acarinina:barker,"Tripati et al., 2005",https://doi.org/10.1029/2003GC000631,1.76,-28.04,-17.75,-34.95,-17.75,-34.95,,,,,,deepMIP,3.39,0.11,11,4.02,0.17,7,mg_bcp,,,,,,
DSDP 527,MgCa,mgca_m.subb:barker,"Tripati et al., 2005",https://doi.org/10.1029/2003GC000631,1.76,-28.04,-17.75,-34.95,-17.75,-34.95,,,,,,deepMIP,3.48,0.15,7,4.27,0.42,2,mg_bcp,,,,,,
IODP U1443,MgCa,mgca_morozovella:barker,Barnet et al. 2020,https://doi.org/10.1016/j.epsl.2020.116414,90.36183,5.38349,75,-28.15,75,-28.15,,,,,,deepMIP,4.02,0.04,3,4.81,0.002,2,mg_red,,,,,,
Nigeria SQ,MgCa,mgca_morozovella:reductive,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,3.583333333,6.833333333,-10.1,-0.346,-10.1,-0.346,,,,,,deepMIP,4.65,0.36,10,,,,mg_red,,,,,,
Nigeria SQ,MgCa,mgca_acarinina:reductive,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,3.583333333,6.833333333,-10.1,-0.346,-10.1,-0.346,,,,,,deepMIP,4.2,0.21,10,,,,mg_red,,,,,,
ODP 1209,MgCa,mgca_morozovella:reductive,"Zachos et al., 2003",https://doi.org/10.1126/science.1090110,158.51,32.65,-155.45,28.35,-155.45,28.35,,,,,,deepMIP,3.52,0.21,24,5.21,0.26,32,mg_red,,,,,,
ODP 1209,MgCa,mgca_acarinina:reductive,"Zachos et al., 2003",https://doi.org/10.1126/science.1090110,158.51,32.65,-155.45,28.35,-155.45,28.35,,,,,,deepMIP,3.43,0.15,11,4.97,0.39,25,mg_red,,,,,,
ODP 690,MgCa,mgca_acarinina:reductive,"Kozdon et al., 2020",https://doi.org/10.1029/2019PA003811,1.2,-65.16,-8.55,-70.75,-8.55,-70.75,,,,,,deepMIP,2.65,0.42,5,3.39,0.49,12,mg_bcp,,,,,,
ODP 865,MgCa,mgca_morozovella:barker,"Tripati et al., 2004",https://doi.org/10.1029/2003GC000631,-179.55,18.43,-138.05,10.35,-138.05,10.35,,,,,,deepMIP,3.96,0.16,12,4.5,0.17,8,mg_bcp,,,,,,
ODP 865,MgCa,mgca_acarinina:barker,"Tripati et al., 2004",https://doi.org/10.1029/2003GC000631,-179.55,18.43,-138.05,10.35,-138.05,10.35,,,,,,deepMIP,4.03,0.3,13,4.72,0.19,9,mg_bcp,,,,,,
Ancora,TEX86,tex86,"Elling et al., 2019",https://doi.org/10.1038/s41467-019-12553-3,-74.84901639,39.69221528,-58.20742639,39.69221528,-58.20742639,39.69221528,,,,,,deepMIP,0.728,0.022,14,0.909,0.02,19,,,,,,,
Bass River,TEX86,tex86,"Sluijs et al., 2007",https://doi.org/10.1038/nature06400,-74.43,39.6,-57.78841,39.6,-57.78841,39.6,,,,,,deepMIP,0.748,0.019,15,0.889,0.019,18,,,,,,,
Fur Section,TEX86,tex86,"Schoon et al., 2015",https://doi.org/10.1016/j.orggeochem.2014.11.003,8.9914,56.8411,-31,52.65,-31,52.65,,,,,,deepMIP,0.49,0.014,2,0.738,0.034,5,,,,,,,
Fur Section,TEX86,tex86,"Stokke et al., 2020",https://doi.org/10.1016/j.epsl.2020.116388,8.9914,56.8411,-31,52.65,-31,52.65,,,,,,deepMIP,0.584,0.054,12,0.674,0.09,21,,,,,,,
Harrell Core,TEX86,tex86,"Sluijs et al., 2014",https://doi.org/10.5194/cp-10-1421-2014,-88.72055556,32.25111111,-73,33.7,-73,33.7,,,,,,deepMIP,0.738,0.011,3,0.888,0.019,15,,,,,,,
IODP 302 ACEX,TEX86,tex86,"Sluijs et al., 2020",https://doi.org/10.5194/cp-16-2381-2020,136.18,87.87,26.15,76.95,26.15,76.95,,,,,,deepMIP,0.588,0.022,2,0.639,0.016,15,,,,,,,
IODP364-M0077A,TEX86,tex86,Smith et al. 2020,https://doi.org/10.5194/cp-16-1889-2020,-89.949367,21.45015,-81,20.85,-81,20.85,,,,,,deepMIP,0.856,,1,0.973,0.008,5,,,,,,,
mid-Waipara,TEX86,tex86,"Hollis et al., 2012",https://doi.org/10.1016/j.epsl.2012.06.024,172.75,-43.06666667,-161,-48.75,-161,-48.75,,,,,,deepMIP,,,,0.836,0.03,2,,,,,,,
Nigeria IB10A,TEX86,tex86,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,2.8,6.8,-11,-0.35,-11,-0.35,,,,,,deepMIP,0.826,0.025,11,0.935,0.021,2,,,,,,,
Nigeria IB10B,TEX86,tex86,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,2.8,6.8,-11,-0.35,-11,-0.35,,,,,,deepMIP,0.837,0.025,19,0.922,0.023,5,,,,,,,
Nigeria SQ,TEX86,tex86,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,3.583333333,6.833333333,-10.1,-0.346,-10.1,-0.346,,,,,,deepMIP,0.844,0.018,7,,,,,,,,,,
ODP 1172,TEX86,tex86,"Sluijs et al., 2011",https://doi.org/10.5194/cp-7-47-2011,150,-44,142,-64.45,142,-64.45,,,,,,deepMIP,0.652,0.019,30,0.787,0.023,8,,,,,,,
ODP 959,TEX86,tex86,"Frieling et al., 2018",https://doi.org/10.5194/cp-14-39-2018,-2.73583,3.6275,-15.63583,-3.5225,-15.63583,-3.5225,,,,,,deepMIP,0.843,0.013,17,0.961,0.004,14,,,,,,,
Siberia Well 10,TEX86,tex86,"Frieling et al., 2014",https://doi.org/10.1130/G35724.1,73.52654722,53.50176944,49.99,51.25,49.99,51.25,,,,,,deepMIP,0.505,0.025,8,0.682,0.015,3,,,,,,,
Store Baelt Section,TEX86,tex86,"Schoon et al., 2015",https://doi.org/10.1016/j.orggeochem.2014.11.003,11.08,55.35,-29,51,-29,51,,,,,,deepMIP,0.531,0.078,7,0.669,0.045,4,,,,,,,
Wilson Lake,TEX86,tex86,"Zachos et al., 2006",https://doi.org/10.1130/G22522.1,-75.05,39.65,-58.40841,39.65,-58.40841,39.65,,,,,,deepMIP,0.7,0.015,24,0.89,0.023,17,,,,,,,
ZS,TEX86,tex86,"Jin et al., 2023",https://doi.org/10.1016/j.gloplacha.2023.104289 ,88.52,28.28,69,0.1,69,0.1,,,,,,this study,0.72744097,0.016530352,3,0.804294715,,1,,,,,,,
