File,Type,Proxy,Lat,Lon,prePETMmean,prePETMstd,prePETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,dProxy,dProxystd,d18osw_local,Site,Glassy,mg_bcp_red,prePETMmeanRaw,PETMmeanRaw,postPETMmeanRaw
frieling2017-sqofnigeria.txt,MgCa,mgca_morozovella:reductive,-0.45,-10.1,4.6457,0.36444018,10,nan,nan,0,nan,nan,0,nan,nan,nan,sq,,mg_red,4.6457,nan,nan
frieling2017-sqofnigeria.txt,MgCa,mgca_acarinina:reductive,-0.45,-10.1,4.2046,0.508762997,10,nan,nan,0,nan,nan,0,nan,nan,nan,sq,,mg_red,4.2046,nan,nan
frieling2017-sqofnigeriatex86.txt,TEX86,tex86,-0.45,-10.1,0.84429,0.017865611,7,nan,nan,0,nan,nan,0,nan,nan,nan,sq,,,0.84429,nan,nan
schoon2013-storebaelt.txt,TEX86,tex86,50.8,25,0.53143,0.078059117,7,0.63789,0.045294227,8,0.4803,0,1,0.10646,0.090248505,nan,store,,,0.53143,0.63789,0.4803
aze2014-tanzaniad18omorozovella.txt,d18O,d18o_morozovella,-24.65,23.2,-3.384062857,0.386942977,28,-3.623586667,0.064291005,3,-3.98067,0.435822293,8,-0.23952381,0.392247627,-0.05308,tanzania,glassy,,-3.437142857,-3.676666667,-4.03375
aze2014-tanzaniad18oacarinina.txt,d18O,d18o_a.soldadoensis,-24.65,23.2,-3.079227692,0.466085719,13,-4.08692,0,1,-3.70692,0.272396769,5,-1.007692308,0.466085719,-0.05308,tanzania,glassy,,-3.132307692,-4.14,-3.76
john2008-tumeygulchd18o.txt,d18O,d18o_acarinina,42.25,-110.01,nan,nan,0,-2.2443,0.4327,4,-1.8818,0,1,nan,nan,-0.5982,tumey,glassy,,nan,-2.8425,-2.48
john2008-tumeygulchd18o.txt,d18O,d18o_morozovella,42.25,-110.01,nan,nan,0,-2.4818,0.201163,4,-1.7768,0.6293,2,nan,nan,-0.5982,tumey,glassy,,nan,-3.08,-2.375
john2008-tumeygulchd18o.txt,d18O,d18o_m.velascoensis,42.25,-110.01,nan,nan,0,-2.54513,0.175594,3,nan,nan,0,nan,nan,-0.5982,tumey,glassy,,nan,-3.14333,nan
hollis2012-waiparatex-mgca-d18o.txt,TEX86,tex86,-54.85,179.15,0.5373,0.028158346,10,0.836,0.02972531,2,nan,nan,0,0.2987,0.04094492,nan,waipara,,,0.5373,0.836,nan
zachos2006-wilsonlakepetmd18o.txt,d18O,d18o_morozovella,38.65,-56.45,nan,nan,0,-3.27604,0.2305,22,nan,nan,0,nan,nan,-0.48941,WL,glassy,,nan,-3.76545,nan
zachos2006-wilsonlakepetmd18o.txt,d18O,d18o_acarinina,38.65,-56.45,nan,nan,0,-2.53907,0.5056,33,-1.92809,0.221415898,4,nan,nan,-0.48941,WL,glassy,,nan,-3.02848,-2.4175
zachos2006-wilsonlake.txt,TEX86,tex86,38.65,-56.45,0.698,0.013038405,5,0.89125,0.02306,16,0.77,0.07257,4,0.19325,0.026490821,nan,WL,,,0.698,0.89125,0.77
