Site,DepthOri,Depth,SourcePaleodepth,,Mask,assessment,Type,File,doi,lonbci,latbci,Proxy,lon0,lat0,lonb,latb,lonh,lath,lonbc,latbc,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,,prePETMmean,prePETMstd,prePETMn,peakPETM,peakPETMstd,peakPETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,Glassy,mg_bcp_red,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x,JESS NOTES
Fur Section,,,,,,deepMIP,TEX86,"Stokke et al., 2020",https://doi.org/10.1016/j.epsl.2020.116388,-31,52.65,tex86,8.9914,56.8411,9.75,46.35,-35,52.65,-35,52.65,0.584,0.054,12,0.674,0.09,21,,0.613,0.01,7,0.744,0.023,9,0.732,0.034,11,0.634295049,0.084993666,6,,,,nan,nan,nan,nan,
Store Baelt Section,,,,,,deepMIP,TEX86,"Schoon et al., 2015",https://doi.org/10.1016/j.orggeochem.2014.11.003,-29,51,tex86,11.08,55.35,11.65,44.55,25,50.8,11.65,44.55,0.531,0.078,7,0.669,0.045,4,,0.531,0.078,7,0.735,,1,0.638,0.045,8,0.4803,0,1,,,nan,nan,nan,nan,nan,
Harrell Core,,,,,,deepMIP,TEX86,"Sluijs et al., 2014",https://doi.org/10.5194/cp-10-1421-2014,-73,33.7,tex86,-88.72055556,32.25111111,-62.75,31.15,-82,32.85,-71,31.15,0.738,0.011,3,0.888,0.019,15,,0.726,0.032,10,0.889,,1,0.881,0.032,16,0.70864,0,1,,,nan,nan,nan,nan,nan,
Nigeria IB10A,,,,,,deepMIP,TEX86,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-11,-0.35,tex86,2.8,6.8,3,-6.95,-10.1,-0.35,-10.1,-0.35,0.826,0.025,11,0.935,0.021,2,,0.834,0.027,11,0.95,,1,0.935,0.02,2,0.802332687,0.038113715,6,,,nan,nan,nan,nan,nan,
Nigeria IB10B,,,,,,deepMIP,TEX86,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-11,-0.35,tex86,2.8,6.8,3,-6.95,-10.1,-0.35,-10.1,-0.35,0.837,0.025,19,0.922,0.023,5,,0.838,0.027,18,0.95,,1,0.921,0.022,5,0.83692,0.019610905,13,,,nan,nan,nan,nan,nan,
Lodo Gulch,,,,,,deepMIP,d18O,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-111,44.05,d18o_acarinina,-120.63,36.58,-92.55,44.05,-110.01,42.25,-110.01,44.05,,,,-3,0.17,12,,nan,nan,0,-3.28,,1,-2.926,0.209,18,-2.43,0.112842073,4,glassy,,-0.5982,-1.8707,-0.7032,-2.1821,-2.4597,
Lodo Gulch,,,,,,deepMIP,d18O,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-111,44.05,d18o_morozovella,-120.63,36.58,-92.55,44.05,-110.01,42.25,-110.01,44.05,,,,-2.97,0.16,21,,nan,nan,0,-3.115,,2,-3.014,0.136,33,-2.718333334,0.228297776,6,glassy,,-0.5982,-1.8707,-0.7032,-2.1821,-2.4597,
IODP364-M0077A,-19.8,,,,,deepMIP,TEX86,Smith et al. 2020,https://doi.org/10.5194/cp-16-1889-2020,-81,20.85,tex86,-89.949367,21.45015,-67.25,20.85,-75.05,22.15,-67.25,20.85,0.856,,1,0.973,0.008,5,,0.856,,1,0.981,,2,0.967,0.011,7,,,,,,,,,,,
Milville,,59,,,,deepMIP,d18O,Si et al. 2018,https://doi.org/10.1002/2017PA003219,-58.35841,39.4,d18o_acarinina,-75,39.4,-47.25,34.25,-56.75,37.65,-56,38.25,-2.43,0.28,8,-3.3,0.24,30,,-2.346,0.526,2,-3.54,0.047,2,-3.368,0.217,7,-2.98807913,0.337833103,46,glassy,-0.477467,-0.48343,-0.4707,-0.5658,-0.422,-0.794,
Milville,,59,,,,deepMIP,d18O,Si et al. 2018,https://doi.org/10.1002/2017PA003219,-58.35841,39.4,d18o_morozovella,-75,39.4,-47.25,34.25,-56.75,37.65,-56,38.25,-2.97,0.24,4,-3.82,0.41,26,,-3.157,0.25,2,-3.955,,1,-3.903,0.547,5,-3.447936667,0.50222532,45,glassy,-0.477467,-0.48343,-0.4707,-0.5658,-0.422,-0.794,
